단원 제목,요약 (100자 이내),키워드
46 EBS 수능특강 한국사,"김영삼 정부의 이해 국 강령을 발표하였다. 문제 분석 자료에서 문민 시대를 열어 모든 분야에서 민주화를 이 룩했다고 언급한 점, 지방 자치제의 완전 실시, 금융 실명제가 제 06 ...","['남북', '정부', '문제 분석', '분석 자료에서', '문제']"
48 EBS 수능특강 한국사,2026 수능특강_한국사_정답(01-72).indd 46 2025. 1. 2. 오후 4:46 ‘이 나라’는 발해임을 알 수 있다. ④ 고구려 옛 장군 대조영이 고 6 세도 정치의 ...,"['문제 분석', '분석 자료에서', '문제', '자료에서', '분석']"
15 위)를 설치하였다.,2026 수능특강_한국사_정답(01-72).indd 48 2025. 1. 2. 오후 4:46 에 신간회가 결성되었다. 신간회는 광주 학생 항일 운동 당시 현 ⑤ 대한 제국은 광무개...,"['행위', '반민족', '제헌', '정부', '제국은']"
20 가 사용되었다.,"조선어 학회 활동 이해 오답 피하기 ① 군국기무처는 1894년에 설치되어 제1차 갑오개혁 문제 분석 자료에서 이윤재, 최현배 등이 희생된 것을 기리기 위 을 주도하였다. 해 건립한...","['조선어', '부정', '민주화', '18', '대통령']"
50 EBS 수능특강 한국사,제1차 남북 정상 회담의 이해 오답 피하기 ① 비파형 동검은 청동기 시대의 대표적인 유물이다. 문제 분석 자료에서 김정일 국방위원장이 갈색 인민복 차림으로 ② 부여에서는 12월에 ...,"['남북', '서경', '고려의', '오답', '오답 피하기']"
52 EBS 수능특강 한국사,2026 수능특강_한국사_정답(01-72).indd 50 2025. 1. 2. 오후 4:46 다는 아미타 신앙을 전파하여 불교 대중화에 기여하였다. ② 대한매일신보는 국채 보상 운...,"['문제 분석', '문제', '피하기', '오답 피하기', '오답']"
14 는 운동을 전개하여 이를 철회시켰다.,2026 수능특강_한국사_정답(01-72).indd 52 2025. 1. 2. 오후 4:46,"['수능특강_한국사_정답', '오후 46', '수능특강_한국사_정답 01', '2026 수능특강_한국사_정답', '72 indd']"
15 천이 이끄는 한국 독립군은 한중 연합 작전을 전개하여 대전자령,"청산리 대첩의 시기 파악 ④ 동학 농민 운동은 전봉준, 김개남, 손화중 등 동학 농민군 지도 문제 분석 자료에서 북로 군정서가 일시에 사격하여 청산리 일대 자들이 체포되면서 실패로...","['청산리', '독립군', '신군부', '일본군을', '내용 등을']"
19 고구려의 특징 이해,물산 장려 운동 이해 전투에서 일본군을 상대로 승리를 거두었다. 문제 분석 자료에서 남의 것으로만 살아가던 우리도 우리의 생산 오답 피하기 ① 신라는 7세기 후반 매소성 전투와 기...,"['만세', '물산', '유신', '모스크바', '3국 외상']"
20 세기에 신라 진흥왕은 영토를 확대하고 북한산 등지에 순수비를,"김영삼 정부의 정책 파악 문제 분석 자료에서 주몽에 의하여 졸본 지역에 세워졌다는 점, 문제 분석 자료에서 금융 실명제를 전면 실시하였다는 내용을 통 유리왕 때 국내성으로 수도를 ...","['금융', '분석 자료에서', '문제 분석', '정부는', '문제']"
54 EBS 수능특강 한국사,노태우 정부 시기의 통일 노력 이해 세웠다. 문제 분석 자료에서 재임 기간에 서울 올림픽 대회를 치르고 유엔 오답 피하기 ① 6세기 신라 지증왕 때 이사부가 우산국을 정복하 에 가...,"['노태우', '정부 시기인', '시기인', '통일', '남북']"
56 EBS 수능특강 한국사,2026 수능특강_한국사_정답(01-72).indd 54 2025. 1. 2. 오후 4:46 ⑤ 고려는 몽골과의 전쟁 중에 부처의 힘으로 외적을 물리치려는 ⑤ 고려 시대의 백정은 ...,"['문제 분석', '분석 자료에서', '조선', '문제', '자료에서']"
15 문제 분석 자료에서 이승만과 이시영을 각각 초대 대통령과 초대,2026 수능특강_한국사_정답(01-72).indd 56 2025. 1. 2. 오후 4:46 정부가 수립되었다. 합작 위원회를 구성하고 1946년 10월 좌우 합작 7원칙을 발표하...,"['비밀', '합작', '중심으로', '추진하였다', '였다']"
58 EBS 수능특강 한국사,"봉오동 전투의 시기 파악 부통령으로 선출한 점 등을 통해 밑줄 친 ‘국회’는 제헌 국회임을 문제 분석 자료에서 봉오동 골짜기 안에서 전투가 벌어진 점, 홍 알 수 있다. 제헌 국회...","['민주', '정부', '남북', '이해', '문제 분석']"
60 EBS 수능특강 한국사,2026 수능특강_한국사_정답(01-72).indd 58 2025. 1. 2. 오후 4:46 오답 피하기 ② 조선 정부는 1862년 임술 농민 봉기의 배경으로 하는 공물이 방납인들...,"['등을', '문제', '문제 분석', '분석 자료에서', '분석']"
"20 김대중 정부의 정책 이해 문제 분석 자료에서 농경과 목축을 시작했던 시대라고 하였고, 서",2026 수능특강_한국사_정답(01-72).indd 60 2025. 1. 2. 오후 4:46 운동은 이상재 등이 조직한 조선 민립 대학 기성회를 중심으로 국 모 민중 대회를 계획하...,"['조선', '좌우 합작', '합작', '좌우', '이승만']"
62 EBS 수능특강 한국사,"울 암사동 유적 등이 제시된 것으로 보아 (가) 시대는 신석기 시대 문제 분석 자료에서 6·15 남북 공동 선언이 제시된 점, 북측 대표 임을 알 수 있다. ① 신석기 시대에는 갈...","['신라', '피하기', '오답 피하기', '오답', '사회']"
"10 ② 임진왜란 당시 곽재우, 조헌 등이 의병을 일으켜 활약하였다.",2026 수능특강_한국사_정답(01-72).indd 62 2025. 1. 2. 오후 4:46 ② 무령왕릉은 백제 웅진 시기에 중국 남조의 영향을 받아 축조된 해 아들인 장수왕이 세...,"['고려', '문제 분석', '분석 자료에서', '문제', '자료에서']"
64 EBS 수능특강 한국사,독도의 특징 이해 ③ 황토현 전투와 황룡촌 전투는 1894년에 일어난 동학 농민 운 문제 분석 자료에서 울릉도 앞바다에서 동쪽으로 100리의 거리에 동의 전개 과정 중에 있었던 사...,"['특징 이해', '이해', '문제 분석', '분석 자료에서', '특징']"
66 EBS 수능특강 한국사,2026 수능특강_한국사_정답(01-72).indd 64 2025. 1. 2. 오후 4:46 하는 운동을 전개하였다. 의 탄압으로 해산당하였다. ⑤ 신민회는 민족 교육의 실시를 위...,"['특징 이해', '분석 자료에서', '문제 분석', '특징', '문제']"
68 EBS 수능특강 한국사,2026 수능특강_한국사_정답(01-72).indd 66 2025. 1. 2. 오후 4:46 오답 피하기 ① 조선 정부는 개화 정책을 추진하면서 박문국을 세 내용임을 알 수 있다....,"['고려', '문제 분석', '분석 자료에서', '피하기', '오답 피하기']"
14 주석으로 선임되었다는 것 등을 통해 (가)가 대한민국 임시 정부,2026 수능특강_한국사_정답(01-72).indd 68 2025. 1. 2. 오후 4:46 으로 대한국 국제를 반포하였다. 16 대한민국 임시 정부의 활동 파악 ④ 국채 보상 운...,"['임시', '회의에서', '으로', '보상', '국채 보상']"
70 EBS 수능특강 한국사,형평 운동의 이해 임을 알 수 있다. ④ 대한민국 임시 정부는 태평양 전쟁이 발발하 문제 분석 자료에서 진주 백정 이학찬 등이 중심이 되어 백정에 자 대일 선전 성명서를 발표하였다...,"['문제', '정부', '피하기', '오답 피하기', '오답']"
